0,11,49.8
0,19,49.04
0,37,27.82
0,43,22.28
0,45,66.64
0,61,29.25
0,63,58.38
0,64,36.39
0,67,90.71
0,75,15.67
0,77,67.58
0,78,36.15
0,95,82.6
0,97,8.41
1,15,86.43
1,21,45.77
1,24,20.97
1,25,57.5
1,30,71.88
1,33,29.48
1,38,74.91
1,56,96.83
1,61,2.82
1,75,34.69
1,84,7.05
1,91,53.87
1,96,84.93
2,12,36.49
2,23,14.32
2,49,22.89
2,53,66.67
3,6,55.92
3,10,28.28
3,10,97.45
3,12,10.69
3,17,45.2
3,22,34.16
3,34,93.48
3,35,39.29
3,37,7.67
3,64,82.3
4,21,58.32
4,42,26.21
4,47,91.77
4,54,36.83
4,69,58.17
4,71,84.47
4,72,81.53
4,76,30.01
4,89,38.24
5,20,29.25
5,22,66.01
5,45,2.87
5,58,89.69
5,64,15.91
5,67,48.58
5,67,91.19
5,95,84.4
6,5,92.61
6,35,66.19
6,40,44.29
6,42,86.9
6,42,3.37
6,52,5.64
6,55,44.79
6,60,85.26
6,71,71.26
6,84,64.57
6,93,94.56
7,8,27.8
7,19,77.03
7,51,63.64
7,51,61.09
7,57,78.03
7,60,10.45
7,80,84.89
7,82,41.55
7,83,9.09
7,86,37.44
8,26,88.21
8,41,58.25
8,66,47.62
8,69,33.77
8,69,76.46
8,70,83.89
8,82,53.62
8,83,93.49
8,85,26.52
8,87,36.5
8,91,28.94
8,93,35.05
9,9,90.19
9,45,1.22
9,59,3.38
9,66,7.74
9,71,70.76
9,72,8.58
9,84,1.11
9,88,81.12
9,94,63.15
9,95,69.19
9,99,4.24
10,18,72.9
10,29,72.41
10,50,75.77
10,86,98.97
11,8,14.78
11,20,45.34
11,58,26.01
11,71,63.89
11,78,65.93
11,82,55.56
11,90,16.1
11,93,61.17
11,95,24.22
12,5,47.15
12,7,98.23
12,8,65.84
12,16,3.58
12,28,65.91
12,32,58.47
12,37,35.58
12,46,75.98
12,72,23.42
13,12,75.43
13,19,11.62
13,38,76.89
13,43,6.95
13,67,82.45
13,67,28.8
13,74,5.29
13,88,80.99
13,94,71.77
14,32,44.64
14,44,9.23
14,47,20.84
14,51,63.42
14,53,40.22
14,54,41.12
